лс;дата;номер документа;сумма;пени
50128675049;08.02.22;41458;887,96;
50128616109;08.02.22;979206;870,26;
50128675070;08.02.22;676566;857,54;
50128676071;08.02.22;676858;857,54;
50128646015;09.02.22;563934;870,26;
50128659012;10.02.22;22740;870,26;
50128689061;10.02.22;675857;1 000,00;
50128694110;10.02.22;779444;870,26;
50128646165;10.02.22;18628;870,26;
50128631009;11.02.22;40220;870,26;
50128650006;11.02.22;81301;870,26;
50128659005;11.02.22;365577;882,16;
50128660004;11.02.22;368109;882,16;
50128613018;11.02.22;2;870,26;
50128602136;14.02.22;329908;870,26;
50128650011;14.02.22;326586;27,30;
50128602118;14.02.22;703764;870,26;
