лс;дата;номер документа;сумма;пени
50129554488;09.03.2022;945823;3000,25;0
50129517591;09.03.2022;18339;3000;0
50129503607;09.03.2022;17352;8186,87;0
50129581744;09.03.2022;2275;3693;0
50129554651;09.03.2022;4747;8505,19;0
50129581744;09.03.2022;2279;1625,45;0
50129590567;09.03.2022;10521;9748,83;0
50129527537;09.03.2022;120582;5402;0
50129549449;09.03.2022;584766;4768,84;0
50129542655;09.03.2022;5222;10203,02;0
50129540730;09.03.2022;39418;3517,93;0
50129518493;09.03.2022;34832;6305,26;0
50129590570;09.03.2022;396761;300;0
50129598431;09.03.2022;462334;4109,03;0
50129570574;08.03.2022;1292;3471,55;0
50129587312;08.03.2022;1237;3987,17;0
50129572428;09.03.2022;16956;5187,68;0
50129590570;09.03.2022;828520;300;0
50129509284;09.03.2022;27492;11329,1;0
50129519418;06.03.2022;615633;4437,15;0
50129590570;06.03.2022;4630;200;0
50129590750;09.03.2022;371446;3771,17;0
50129590570;09.03.2022;913256;200;0
50129565562;09.03.2022;338031;6226,56;0
50129532666;09.03.2022;516962;6240,1;0
50129516749;09.03.2022;140346;7192,4;0
50129507425;09.03.2022;381939;3771,47;0
50129507555;09.03.2022;68664;3395,22;0
50129584402;09.03.2022;297855;2452,21;0
50129517586;09.03.2022;195418;3200;0
50129540727;09.03.2022;305185;2904,06;0
50129523492;09.03.2022;490303;8726,79;0
50129572406;09.03.2022;113399;5048,57;0
50129567632;09.03.2022;145504;7561,6;0
50129556684;09.03.2022;530141;3398,44;0
50129590620;09.03.2022;539778;10756,31;0
50129583573;09.03.2022;512003;6820,8;0
50129505494;09.03.2022;299087;3158,63;0
50129507533;09.03.2022;366635;3441,27;0
50129536529;09.03.2022;486917;7485,6;0
50129570413;09.03.2022;534091;8737,75;0
50129589310;09.03.2022;535173;6756,93;0
50129523715;09.03.2022;327823;2511;0
50129516617;09.03.2022;34436;7494,51;0
50129588635;09.03.2022;137949;7295,48;0
50129570563;09.03.2022;57133;4000;0
50129577627;09.03.2022;378651;11566,21;0
50129576300;09.03.2022;98958;6205,23;0
50129500442;09.03.2022;347682;5423,22;0
50129513297;09.03.2022;195866;3333,39;0
50129526422;09.03.2022;318966;3114,2;0
50129521445;09.03.2022;358008;3452,15;0
50129515327;09.03.2022;38197;4513,88;0
50129577630;09.03.2022;378244;9953,79;0
50129511661;09.03.2022;505196;6500;0
50129540499;09.03.2022;13614;3655,06;0
50129516308;09.03.2022;36952;4968,98;0
50129536459;09.03.2022;44813;5699,06;0
50129507443;09.03.2022;148727;7960,97;0
50129516600;09.03.2022;67566;9631;0
50129501557;09.03.2022;325810;6917,34;0
50129590570;09.03.2022;314934;300;0
50129518664;05.03.2022;925898;8665,15;0
50129566315;05.03.2022;689160;2228,72;0
50129523584;05.03.2022;643145;8508,83;0
50129505582;05.03.2022;924613;4026,42;0
50129514530;05.03.2022;652042;5352,89;0
50129518534;05.03.2022;655737;4758,64;0
50129579429;05.03.2022;847930;5138,52;0
50129547724;07.03.2022;894771;6213,89;0
50129555398;06.03.2022;212210;8270,38;0
50129579410;09.03.2022;445069;3231,49;0
50129523603;09.03.2022;954247;8698,65;0
50129593401;05.03.2022;690600;2760;0
50129512594;05.03.2022;713726;5462,33;0
50129505663;05.03.2022;620956;10134,64;0
50129521522;05.03.2022;621427;7866,77;0
50129514440;10.03.2022;9853;2226,69;0
50129501430;10.03.2022;17852;6084,81;0
50129581634;10.03.2022;198878;7793,71;0
50129560375;10.03.2022;748149;9513,15;0
50129525332;10.03.2022;177133;4090,61;0
50129551737;10.03.2022;14843;2951,69;0
50129526602;10.03.2022;13602;8956,99;0
50129542505;10.03.2022;917140;5047,87;0
50128604145;10.03.2022;504981;880;0
50129576626;10.03.2022;5120;4163,67;0
50129523593;10.03.2022;545789;6451,63;0
50129509478;10.03.2022;158074;6876;0
50129512763;10.03.2022;940299;3905,06;0
50129524357;10.03.2022;59944;4812,96;0
50129590400;10.03.2022;84852;3892,59;0
50129550399;10.03.2022;15180;7466,17;0
50129545463;09.03.2022;109669;3055;0
50129524340;09.03.2022;135171;2443,48;0
50129579577;09.03.2022;289560;4653,94;0
50129576631;09.03.2022;765826;5900,23;0
50129502320;09.03.2022;792113;2043,54;0
50129523665;09.03.2022;955753;7072,99;0
50129504495;09.03.2022;923056;3894,41;0
50129546373;09.03.2022;899007;2120,75;0
50129517638;09.03.2022;835366;8172,31;0
50129594306;09.03.2022;744685;3589,62;0
