лс;дата;номер документа;сумма;пени
50134483073;30.08.22;;184,92;
50134498126;30.08.22;;276;
50134412119;30.08.22;;322,92;
50134423192;30.08.22;;500;
50134428018;30.08.22;;329,54;
50134470113;30.08.22;;682,28;
50134470063;30.08.22;;274,34;
50134498108;30.08.22;;185,47;
50134445013;30.08.22;;428,9;
50134454171;30.08.22;;270,54;
50134495088;30.08.22;;200;
50134414180;31.08.22;;327,34;
50134427147;31.08.22;;271,58;
50134370029;31.08.22;;331,2;
50134428021;31.08.22;;258;
50134419051;31.08.22;;403,51;
50134407132;31.08.22;;321,82;
50134463002;01.09.22;;860,02;
50134490139;01.09.22;;185,47;
50134483103;01.09.22;;455,4;
50134408124;01.09.22;;181,61;
50134423093;01.09.22;;276;
50134498131;01.09.22;;266,62;
50134476098;01.09.22;;337,27;
50134411181;02.09.22;;278,21;
50134442012;02.09.22;;252,82;
50134426085;02.09.22;;189,34;
50134465112;02.09.22;;278,76;
50134483114;02.09.22;;186,58;
50134449167;02.09.22;;188,78;
50134414197;02.09.22;;527,72;
50134465105;02.09.22;;184,37;
50134426052;02.09.22;;1089,66;
50134405183;02.09.22;;331,2;
50134432186;03.09.22;;326,23;
50134408054;03.09.22;;395,23;
50134417086;03.09.22;;273;
50134421022;03.09.22;;431,11;
50134498056;03.09.22;;269,38;
50134451189;04.09.22;;332,3;
50134484102;04.09.22;;257,23;
50134484065;04.09.22;;406,27;
50134479077;05.09.22;;275,45;
50134445174;05.09.22;;270,48;
50134454188;05.09.22;;181,61;
50134423084;05.09.22;;412,34;
50134407143;05.09.22;;268,27;
50134498096;05.09.22;;273,79;
50134417091;05.09.22;;370,94;
50134412094;05.09.22;;186,02;
50134427019;06.09.22;;431,66;
50134432201;06.09.22;;265,51;
50134418153;06.09.22;;572,98;
50134479129;06.09.22;;252,82;
50134414140;06.09.22;;268,27;
50134411196;06.09.22;;274,9;
50134405095;06.09.22;;342,79;
50134408043;06.09.22;;182,71;
50134407042;06.09.22;;3700;
50134456173;06.09.22;;192,65;
50134493048;06.09.22;;411,79;
50134490117;07.09.22;;239,57;
50134483064;07.09.22;;184,92;
50134408133;07.09.22;;186,02;
50134425200;07.09.22;;282,07;
50134401057;07.09.22;;277,66;
50134414030;07.09.22;;800;
50134479107;07.09.22;;335,62;
50134404195;07.09.22;;266,06;
50134412120;07.09.22;;274,34;
50134493066;07.09.22;;276,55;
50134405194;08.09.22;;281,52;
50134407033;08.09.22;;439,39;
50134479059;08.09.22;;321,26;
50134479110;08.09.22;;335,62;
50134465062;08.09.22;;411,79;
50134472106;08.09.22;;277,1;
50134407055;08.09.22;;190,44;
50134436160;08.09.22;;188,23;
50134436007;08.09.22;;326,78;
50134445004;08.09.22;;424,49;
50134449017;09.09.22;;432,77;
50134490067;09.09.22;;185,47;
50134435011;09.09.22;;416,21;
50134412050;09.09.22;;272,69;
50134490089;09.09.22;;260,54;
50134436177;09.09.22;;258,89;
50134421044;09.09.22;;273,79;
50134419136;09.09.22;;187,68;
50134427150;09.09.22;;269,38;
