ЛС;ресурс;сумма;услуга;гр. услуг;тариф;норматив;№ прич. перерасчета
50146061001;;-1668,70;;Отопление;;;
50146054002;;-1694,98;;Отопление;;;
50146051003;;-1603,00;;Отопление;;;
50146040004;;-1629,28;;Отопление;;;
50146033005;;-1386,20;;Отопление;;;
50146042006;;-1714,69;;Отопление;;;
50146047007;;-1694,98;;Отопление;;;
50146004008;;-1622,71;;Отопление;;;
50146005009;;-1635,85;;Отопление;;;
50146047010;;-1432,19;;Отопление;;;
50146042011;;-1740,97;;Отопление;;;
50146033012;;-1701,55;;Отопление;;;
50146040013;;-1622,71;;Отопление;;;
50146051014;;-1648,99;;Отопление;;;
50146054015;;-1445,33;;Отопление;;;
50146061016;;-1708,12;;Отопление;;;
50146060017;;-1747,54;;Отопление;;;
50146023018;;-1642,42;;Отопление;;;
50146018019;;-1662,13;;Отопление;;;
50146018020;;-1458,47;;Отопление;;;
50146023021;;-1307,37;;Отопление;;;
50146032022;;-1129,99;;Отопление;;;
50146025023;;-1373,06;;Отопление;;;
50146014024;;-1642,42;;Отопление;;;
50146011025;;-1359,92;;Отопление;;;
50146004026;;-1294,23;;Отопление;;;
50146005027;;-1116,85;;Отопление;;;
50146042028;;-1392,77;;Отопление;;;
50146047029;;-1662,13;;Отопление;;;
50146005030;;-1412,48;;Отопление;;;
50146004031;;-1353,35;;Отопление;;;
50146011032;;-1143,12;;Отопление;;;
50146014033;;-1392,77;;Отопление;;;
50146025034;;-1655,56;;Отопление;;;
50146032035;;-1432,19;;Отопление;;;
50146023036;;-1359,92;;Отопление;;;
50146018037;;-1149,69;;Отопление;;;
50146061038;;-1425,62;;Отопление;;;
50146060039;;-1675,27;;Отопление;;;
50146012040;;-1432,19;;Отопление;;;
50146005041;;-1281,09;;Отопление;;;
50146007081;;-1110,28;;Отопление;;;
50146003043;;-1386,20;;Отопление;;;
50146016044;;-1648,99;;Отопление;;;
50146017045;;-1366,49;;Отопление;;;
50146026046;;-1307,37;;Отопление;;;
50146023047;;-1116,85;;Отопление;;;
50146088048;;-1399,34;;Отопление;;;
50146081049;;-1668,70;;Отопление;;;
50146023050;;-1412,48;;Отопление;;;
50146026051;;-1451,90;;Отопление;;;
50146017052;;-1129,99;;Отопление;;;
50146016053;;-1392,77;;Отопление;;;
50146003054;;-1681,84;;Отопление;;;
50146098055;;-1333,65;;Отопление;;;
50146005056;;-1353,35;;Отопление;;;
50146012057;;-1136,56;;Отопление;;;
50146067058;;-1419,05;;Отопление;;;
50146070059;;-1648,99;;Отопление;;;
50146070060;;-1451,90;;Отопление;;;
50146067061;;-1267,95;;Отопление;;;
50146076062;;-1143,12;;Отопление;;;
50146077063;;-1366,49;;Отопление;;;
50146090064;;-1905,21;;Отопление;;;
50146095065;;-1576,72;;Отопление;;;
50146088066;;-1300,80;;Отопление;;;
50146081067;;-1123,42;;Отопление;;;
50146026068;;-1392,77;;Отопление;;;
50146023069;;-1918,35;;Отопление;;;
50146081070;;-1609,57;;Отопление;;;
50146088071;;-1320,51;;Отопление;;;
50146095072;;-1143,12;;Отопление;;;
50146090073;;-1412,48;;Отопление;;;
50146077074;;-1911,78;;Отопление;;;
50146076075;;-1648,99;;Отопление;;;
50146067076;;-1333,65;;Отопление;;;
50146070077;;-1136,56;;Отопление;;;
50146005078;;-1419,05;;Отопление;;;
50146012079;;-1924,92;;Отопление;;;
50146008080;;-1648,99;;Отопление;;;
