лс;дата;номер документа;сумма;пени
50134472076;19.08.22;;183,26;
50134472061;20.08.22;;184,37;
50134449039;20.08.22;;796,24;
50134433198;20.08.22;;263,86;
50134400155;20.08.22;;405,17;
50134404205;20.08.22;;271,03;
50134407154;21.08.22;;182,71;
50134414179;22.08.22;;184,37;
50134419046;22.08.22;;179,95;
50134418153;29.07.22;;276,55;
50134414180;30.07.22;;327,34;
50134405194;31.07.22;;562,52;
50134498108;31.07.22;;185,47;
50134426092;31.07.22;;333,41;
50134412119;31.07.22;;322,92;
50134418144;31.07.22;;266,62;
50134428018;31.07.22;;329,54;
50134419051;01.08.22;;403,51;
50134436029;01.08.22;;331,2;
50134408054;01.08.22;;395,23;
50134483103;01.08.22;;455,4;
50134490139;01.08.22;;136,47;
50134483073;02.08.22;;184,92;
50134493066;02.08.22;;276,55;
50134408124;02.08.22;;364,49;
50134423084;02.08.22;;412,34;
50134476098;02.08.22;;337,27;
50134465112;02.08.22;;278,76;
50134411181;02.08.22;;278,21;
50134470063;02.08.22;;274,34;
50134427147;03.08.22;;271,58;
50134409156;03.08.22;;276;
50134414027;03.08.22;;665,72;
50134465105;03.08.22;;184,37;
50134401127;03.08.22;;184,92;
50134423093;03.08.22;;276;
50134426085;03.08.22;;189,34;
50134454171;03.08.22;;270,54;
50134484072;04.08.22;;336,72;
50134479077;04.08.22;;275,45;
50134490049;04.08.22;;357,7;
50134449167;04.08.22;;188,78;
50134483114;04.08.22;;186,58;
50134498056;04.08.22;;269,38;
50134498131;04.08.22;;266,62;
50134493116;04.08.22;;266,62;
50134421022;04.08.22;;431,11;
50134432186;04.08.22;;326,23;
50134463015;04.08.22;;427,8;
50134465062;05.08.22;;411,79;
50134407143;05.08.22;;268,27;
50134407033;05.08.22;;439,39;
50134479110;05.08.22;;335,62;
50134479059;05.08.22;;321,26;
50134442012;05.08.22;;252,82;
50134436177;05.08.22;;258,89;
50134472058;05.08.22;;189,89;
50134479107;05.08.22;;335,62;
50134412120;05.08.22;;274,34;
50134405095;06.08.22;;342,79;
50134451189;06.08.22;;332,3;
50134479129;06.08.22;;252,82;
50134411196;06.08.22;;274,9;
50134408043;06.08.22;;182,71;
50134495088;06.08.22;;200;
50134404195;06.08.22;;266,06;
50134498096;06.08.22;;273,79;
50134456173;06.08.22;;192,65;
50134493048;07.08.22;;411,79;
50134408133;07.08.22;;186,02;
50134414140;07.08.22;;268,27;
50134436007;07.08.22;;326,78;
50134490117;07.08.22;;239,57;
50134484065;07.08.22;;406,27;
50134490089;07.08.22;;260,54;
50134428036;07.08.22;;421,18;
50134421134;08.08.22;;273,79;
50134449017;08.08.22;;432,77;
50134407055;08.08.22;;190,44;
50134427019;08.08.22;;431,66;
50134407132;08.08.22;;321,82;
50134490067;09.08.22;;185,47;
50134412050;09.08.22;;272,69;
50134401057;09.08.22;;277,66;
50134435011;09.08.22;;416,21;
50134425200;09.08.22;;282,07;
50134419136;09.08.22;;187,68;
50134427150;09.08.22;;269,38;
50134419118;09.08.22;;269,93;
50134442175;10.08.22;;267,17;
50134483064;10.08.22;;184,92;
50134416087;10.08.22;;273,24;
50134454188;10.08.22;;181,61;
50134445174;10.08.22;;270,48;
50134454001;10.08.22;;252,82;
50134421044;10.08.22;;273,79;
50134465075;10.08.22;;1614;
50134421053;10.08.22;;273,24;
50134412094;10.08.22;;186,02;
50134472106;11.08.22;;277,1;
50134432201;11.08.22;;265,51;
50134409026;11.08.22;;500;
50134493101;11.08.22;;330;
50134436159;11.08.22;;335,62;
50134435006;11.08.22;;700;
50134435176;11.08.22;;188,78;
50134484102;11.08.22;;257,23;
50134414009;12.08.22;;323,47;
50134472128;12.08.22;;347,21;
50134409178;12.08.22;;268,27;
50134456003;12.08.22;;329,76;
50134423202;13.08.22;;282,07;
50134442162;15.08.22;;273,79;
50134419068;15.08.22;;410,14;
50134409031;15.08.22;;425,59;
50134412137;15.08.22;;538,76;
50134414157;16.08.22;;183,82;
50134428151;16.08.22;;184,37;
50134498041;16.08.22;;1500;
50134428168;17.08.22;;271,58;
50134426135;17.08.22;;325,68;
50134409141;17.08.22;;326,78;
50134456164;17.08.22;;187,68;
50134400025;17.08.22;;329,54;
50134407125;17.08.22;;328,99;
50134423185;18.08.22;;378,68;
50134425187;18.08.22;;980;
50134436010;18.08.22;;431,66;
