контракт;ресурс;сумма;услуга;группа услуг;тариф;норматив;№ прич. Перерасчета
50129510001;;-892,1774193548;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129519788;;-310,3225806452;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129501002;;-767;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129508003;;-1667,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129519004;;-651,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129522005;;-570,375;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129529006;;-1061,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129528007;;-1135,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129555008;;-763,75;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129550009;;-741;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129528010;;-1007,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129529011;;-656,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129522012;;-573,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129519013;;-1067,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129508014;;-1135,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129501015;;-765,375;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129510016;;-742,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129515017;;-1010,75;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129536018;;-654,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129537019;;-578,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129537020;;-1066;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129536021;;-1134,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129543022;;-758,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129546023;;-742,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129557024;;-1005,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129564025;;-654,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129555026;;-461,2903225806;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
